account_id,account_hash,account_type,region,balance,opened_date,holder_age
43,8d05f6ffddd7,business,US-Central,216053.4,2021-01-13,54
44,21f1463e882e,business,EU-West,456998.91,2018-04-17,76
45,2a3c8a886aa2,business,US-East,265456.67,2018-02-09,28
46,4f12690f3e21,business,US-East,15711.88,2020-04-28,58
47,5912caea167e,checking,EU-West,186243.38,2022-03-17,62
48,3b4289ccd157,checking,US-West,135764.52,2018-09-09,36
49,b5f16e5e4ce6,savings,US-West,300766.35,2019-09-13,78
50,d9ba0cbcbe7b,savings,EU-West,137201.95,2018-03-30,39
51,ccd2120ed9c0,business,EU-West,409268.25,2020-05-14,41
52,aeb39f1b0fe0,savings,US-East,188977.12,2018-12-04,68
53,501c9d18c68f,checking,US-East,161871.28,2022-05-13,40
54,05fc17f43ccc,business,EU-West,436134.12,2021-06-05,26
55,147ef4e57e0d,savings,US-West,92199.98,2019-10-08,72
56,9bbd6b4cdd57,checking,EU-East,4056.41,2019-01-06,33
57,016fe724e72b,business,APAC,329987.27,2019-03-18,46
58,fdd153db9938,checking,US-Central,249502.08,2022-06-13,48
59,d2099d6c8bb4,savings,EU-East,144357.99,2020-03-07,68
60,951fafff9144,savings,EU-East,111496.38,2019-10-29,45
61,ad6e4b6a512c,checking,US-East,424066.77,2019-10-31,70
62,98ea38751803,business,US-West,156338.65,2019-04-20,49
63,dca787346ecf,checking,US-West,143806.18,2022-08-28,64
64,bd9fbf37884f,checking,US-East,83195.45,2019-12-14,71
65,99c15ea4b105,business,US-East,1761.82,2022-11-01,33
66,b88363ddfd08,checking,APAC,92498.95,2020-03-18,23
67,a5e405dd4335,checking,APAC,389588.44,2022-11-15,33
68,b65d52c9b819,business,US-West,316690.33,2022-05-14,47
69,86ab798670e6,checking,EU-West,386223.21,2020-10-10,52
70,af92b0a75fd3,business,APAC,123265.75,2021-08-08,40
71,401611bb7186,savings,APAC,337585.87,2021-02-12,53
72,fcdde5e7924d,checking,US-West,292269.52,2019-10-28,37
73,b29a69936a10,business,US-Central,70057.56,2018-12-15,72
74,fd1e175d50d7,checking,EU-West,57916.51,2019-10-03,50
75,a2375fd52b1b,savings,US-Central,307512.4,2019-11-03,46
76,0e48b8015491,checking,US-Central,458126.85,2018-05-17,51
77,4de84d148307,business,US-East,181700.08,2022-10-11,56
78,92ae72052b6a,savings,EU-West,227108.6,2018-07-09,35
79,55c28d5da578,checking,US-Central,319350.42,2020-08-23,40
80,652346fa7fe0,checking,US-Central,219236.37,2022-05-01,51
81,029856eaff5d,business,APAC,147968.72,2022-02-07,71
82,5efb61156545,savings,US-East,178267.92,2022-06-05,37
83,e82eb196d59f,business,EU-West,99799.45,2021-12-09,36
84,5f81c99597b8,business,US-West,18419.85,2022-10-02,32
85,f9e20a9f83cc,business,EU-East,15239.55,2020-09-27,30
86,65b9f53c530b,business,US-West,210700.52,2018-09-13,73
87,242e4f485dde,checking,APAC,100599.52,2022-06-01,70
88,a9a5aad2f404,business,EU-East,490203.48,2021-08-12,45
89,d081e9f94d73,business,EU-West,253063.2,2018-03-18,74
90,dcde41e89ff2,business,US-East,176377.92,2018-12-25,29
91,933ac50d7a91,business,EU-West,98230.0,2020-09-09,36
92,91e37e8ee092,business,EU-West,92058.85,2022-08-22,61
93,e67a0e9bf83a,savings,US-West,61201.35,2018-05-09,62
94,e85533e04d26,savings,US-Central,415882.94,2019-09-19,31
95,55126a4a92f0,business,US-West,241367.2,2019-11-02,69
96,fde0b3c6b433,business,US-East,50853.43,2022-05-26,54
97,d3b709952935,checking,US-Central,212485.41,2022-11-04,48
98,90aa1ec6d0d4,savings,US-Central,434691.33,2019-01-21,49
99,b28993110e14,business,EU-West,221402.27,2018-06-29,42
100,8686eabd0d04,business,EU-West,294466.28,2018-11-29,22
101,03135c1f1bac,checking,US-West,406834.95,2019-09-28,26
102,1b8fbecbaa29,business,EU-East,128550.57,2021-04-18,42
103,9324a1faf2c6,savings,US-Central,485837.23,2021-07-12,39
104,96aede041a11,business,EU-East,287600.27,2018-04-18,68
105,ac83d75b22b3,business,US-East,56171.55,2018-03-01,52
106,f4a4dd420433,business,US-Central,239897.31,2021-05-04,54
107,1a28f88df338,business,US-West,416346.89,2018-02-04,61
108,f866456e4442,savings,US-West,47690.31,2021-12-22,23
109,b9ad2c2f85f3,business,EU-West,331819.2,2021-01-11,36
110,80f41238bdd5,checking,APAC,147475.04,2019-08-12,35
111,4d581be8e76a,business,EU-East,148840.65,2022-02-16,66
112,93d0e948e120,business,EU-East,362126.15,2022-09-16,55
113,1047978738c2,savings,US-West,280563.9,2020-01-30,74
114,570832b9216c,savings,US-Central,317591.21,2020-01-30,54
115,774797a0ffc8,business,US-West,472729.38,2019-12-15,65
116,53cd1784d760,business,US-East,89657.14,2018-08-16,22
117,ac3a1a7561c6,business,EU-East,231434.11,2020-06-22,52
118,f6248c683654,business,APAC,422879.6,2021-06-01,71
119,7204098b6af2,checking,US-Central,264455.26,2018-06-01,30
120,8f16f0931718,business,EU-West,449366.97,2021-08-02,47
121,526f820f4ab2,savings,EU-East,264607.54,2018-01-30,76
122,b26be4178790,savings,US-East,394974.79,2019-06-22,68
123,0da4da522573,savings,EU-West,380298.66,2019-02-27,28
124,0c8ab874ab41,savings,EU-East,52495.1,2020-12-07,29
125,9d57fe77f3f7,checking,APAC,14939.49,2022-01-27,51
126,bd8a6a7cbd95,savings,EU-West,424475.75,2020-10-26,25
127,c49940b779d3,checking,EU-East,122956.27,2022-05-07,49
128,cee41d34e3a6,business,US-East,137623.61,2022-09-05,76
129,ab329a0ba0c1,business,US-East,443765.23,2019-11-21,19
130,4671affd3d0e,business,APAC,458468.25,2022-02-20,79
131,01af64364159,business,EU-East,315174.5,2022-09-24,28
132,551134eafabb,checking,EU-West,234058.36,2022-09-03,21
133,8503228700af,savings,US-West,280180.98,2020-01-29,45
134,365a9d756bfe,business,US-West,110583.48,2020-05-16,68
135,cc8f0a0e3281,checking,APAC,414546.55,2020-02-05,38
136,392fea527901,business,EU-East,375453.9,2022-03-05,66
137,eafda5e22d29,savings,APAC,6043.18,2022-01-18,71
138,b9dc089e4fa6,savings,US-West,63355.61,2021-10-01,43
139,3bc02f31ca4f,business,APAC,60856.78,2018-02-10,54
140,7b1df4c79b5e,business,US-East,5316.57,2019-05-09,79
141,29d8f251fd3a,business,US-West,426430.36,2022-10-23,48
142,9325938340c3,checking,APAC,433083.17,2019-09-22,40
143,22da4f87dc87,checking,APAC,213353.3,2018-09-06,54
144,9bb6df89ec46,business,EU-East,164112.24,2018-05-01,52
145,8566ccdac10e,checking,EU-East,358617.71,2022-06-22,20
146,4abf73d49132,savings,US-East,439671.87,2019-08-04,37
147,642fdaa551a4,business,EU-West,103371.38,2019-03-11,22
148,7a6878a2c4f3,business,EU-East,248145.06,2019-12-04,42
149,3205fba72548,savings,US-West,457514.8,2022-04-01,23
150,31ca69a6469e,business,US-Central,254877.53,2019-03-21,56
151,03680547ad24,business,US-West,104572.0,2020-04-01,33
152,a9d9805d2df1,business,US-East,352186.82,2022-06-24,58
153,d4309329d0e4,business,US-Central,487716.33,2019-11-15,80
154,5700c9a6b36d,savings,US-East,183422.35,2022-03-19,79
155,d6fd1c7ddff8,savings,APAC,123230.5,2019-08-21,59
156,f350f91aa28c,savings,EU-West,119780.45,2019-11-16,49
157,0d9f785330a6,checking,US-Central,173424.01,2021-03-09,74
158,8996979ba8d5,checking,EU-West,145159.64,2018-08-25,43
159,4b8692cba9ab,business,US-East,330046.32,2021-10-22,71
160,32d9413ff605,checking,EU-West,243130.91,2020-11-06,47
161,7f96a8a7988c,checking,EU-East,297291.22,2018-02-27,67
162,979633fb9d98,savings,EU-West,2442.52,2021-08-24,76
163,0d11f7f0758a,savings,US-West,260667.88,2019-05-26,42
164,d8af2f4bfc03,savings,US-Central,34437.13,2022-07-12,63
165,5107a64edcb7,savings,US-East,17577.47,2021-10-30,24
166,41727791fd2a,business,EU-West,479453.93,2021-06-30,38
167,72e9e091dbdb,checking,US-Central,267753.06,2021-07-23,70
168,db351d7b391f,savings,EU-West,414134.92,2021-07-24,20
169,75b2ad53d773,checking,US-East,94535.8,2020-02-04,53
170,882e07097b2c,checking,US-West,245258.44,2021-01-24,31
171,7b13550f6d9d,savings,US-West,243354.54,2018-01-17,31
172,11dc93aacf86,checking,EU-East,436194.0,2020-05-14,34
173,43ee4dfb9f7e,savings,APAC,135367.04,2021-07-21,25
174,09f57022f77b,business,US-West,296029.64,2020-12-19,68
175,9a6a83c3e295,checking,EU-East,205939.55,2019-03-09,69
176,3bbd1f285d66,savings,EU-West,201125.76,2018-04-02,62
177,5c7e5a5a110f,business,EU-East,313385.42,2022-03-29,62
178,977d90e55827,business,US-West,86649.29,2018-01-08,52
179,5dbf09ff7c6b,savings,EU-East,254622.84,2022-04-13,66
180,d1bb9d271af5,savings,US-Central,56031.73,2019-07-07,63
181,9b41a0e965dc,savings,EU-East,374333.44,2019-05-01,47
182,03e1916ee365,savings,US-East,226811.02,2018-10-06,74
183,3d5fb42af18a,checking,APAC,483920.83,2019-02-07,69
184,6ef279e97d09,business,US-East,394439.21,2021-02-06,66
185,d824838e235b,savings,APAC,382856.74,2020-02-25,20
186,8bd478ce0c7f,savings,US-West,295364.74,2019-02-20,66
187,2e607c8d0f95,checking,EU-East,246759.49,2020-12-06,53
188,e98e65648080,savings,APAC,373731.71,2020-08-20,79
189,757d2450794c,checking,APAC,117094.81,2020-11-14,43
190,92b0bbb7f039,savings,EU-West,7060.89,2019-08-05,34
191,31c61c6cf36c,checking,APAC,4313.53,2018-07-13,18
192,d2f1281ba7ba,checking,US-Central,96581.39,2021-06-29,70
193,a8dd0dde0e4c,savings,US-East,93226.23,2021-07-28,26
194,41096a1c618a,checking,US-Central,132327.24,2020-03-21,28
195,13051fcf79ee,savings,US-East,327638.87,2018-03-22,28
196,4ad9bf1cbdb1,checking,US-East,305645.43,2022-11-02,64
197,038e44776db6,savings,EU-West,230966.46,2021-08-29,18
198,c83030d4ead4,savings,US-East,9938.16,2019-07-04,63
199,37f35bfd78a6,savings,APAC,295823.41,2021-11-14,63
200,789c06057fa4,checking,EU-East,107624.23,2019-07-12,35
201,da3720179a52,checking,EU-East,321658.95,2020-01-31,21
202,46631f427083,savings,APAC,308101.21,2021-06-26,24
203,bd935d6d2664,checking,US-West,375351.36,2021-07-23,52
204,e1fa271bc2b2,checking,EU-East,365121.87,2020-08-11,53
205,5afc108784bf,checking,APAC,194948.32,2020-08-30,34
206,4621f2c2812e,business,EU-West,102422.58,2022-11-08,29
207,851437fc8786,checking,EU-West,421006.75,2020-02-04,68
208,edbe127479c4,checking,US-Central,7092.99,2018-10-23,71
209,99bf86b50f73,business,APAC,107071.06,2021-11-22,44
210,4aeeb4b77400,checking,EU-East,414235.77,2018-07-24,21
211,f99f07cd8aac,checking,US-Central,191347.7,2018-03-14,45
212,e9be92cdf144,business,EU-West,107634.6,2018-07-23,48
213,4e0085164592,checking,EU-East,199738.21,2018-01-25,62
214,0f6022523c5d,checking,US-East,467131.63,2021-08-29,27
215,c370e36f6a63,checking,US-East,297318.95,2022-05-15,67
216,99636a2a2c44,checking,EU-West,446641.93,2022-06-11,44
217,5839b7330d6c,checking,US-East,285663.5,2022-01-17,30
218,9386a224677e,business,EU-East,15685.52,2020-04-18,39
219,944256f59157,savings,EU-East,156562.94,2020-08-10,21
220,0a0314e0ad1c,savings,US-West,68367.09,2018-07-16,79
221,a71bbd508b07,business,US-East,13095.83,2022-06-23,47
222,2dc27622677a,business,EU-West,44828.67,2019-03-19,66
223,dbd89962b6fa,checking,APAC,225790.35,2022-05-14,28
224,d98b4012a2de,checking,US-West,270313.88,2018-07-11,42
225,72b78bb981b6,checking,APAC,254707.11,2021-03-05,74
226,8110a96d9cfd,business,EU-West,247857.57,2018-06-04,29
227,5c26b1104d87,checking,US-Central,158175.06,2018-09-03,77
228,5241ee9b6b87,savings,APAC,203815.59,2021-12-24,25
229,706379c577ca,checking,EU-East,83675.22,2020-10-12,69
230,7c793fb0d65d,savings,US-East,227448.6,2018-05-21,37
231,9619a7e94e00,savings,US-East,491626.87,2019-05-17,27
232,9972e1d6986d,checking,US-Central,146638.57,2022-08-17,68
233,9e7051eae9f2,checking,US-Central,72197.92,2018-09-27,59
234,82d57dce84cf,checking,US-West,171226.38,2020-03-24,31
235,c259ea66b70d,savings,US-East,71043.85,2021-04-18,64
236,e5aec2501867,business,US-East,291712.19,2021-09-22,37
237,27a75cf3e460,savings,EU-West,441662.63,2022-02-28,42
238,4818bf281d07,checking,US-West,337234.03,2021-06-17,44
239,b956480d70f5,business,US-Central,157971.55,2021-08-06,32
240,05d3f9490988,savings,EU-West,39543.51,2018-09-25,47
241,2f0be34e0128,savings,APAC,278639.96,2021-05-19,80
242,70478c1aa626,checking,US-Central,474014.5,2021-10-18,70
243,61b98454ae6b,savings,EU-East,270070.94,2021-11-18,25
244,909eb39aa466,checking,US-West,52973.77,2020-02-22,54
245,a96b10f37394,checking,US-Central,477545.8,2021-09-28,52
246,32f4a7c0174b,checking,US-West,402731.06,2021-04-05,52
247,90853cd8fbcf,business,US-Central,366280.16,2020-04-08,69
248,ef532bb1f9d1,savings,US-Central,239536.85,2021-01-02,45
249,9e84fecad73f,business,APAC,210708.38,2022-06-09,31
250,91c9fa48c8a9,savings,US-East,453936.52,2020-08-07,50
251,18f684ad6726,savings,US-Central,228147.64,2020-12-12,19
252,fe36d6896ec3,business,US-West,219217.17,2020-11-12,60
253,ac70b440e694,checking,EU-East,54856.78,2021-02-15,20
254,4623b070422b,savings,EU-East,423200.75,2020-10-01,26
255,40db410d9d94,savings,US-Central,21901.69,2018-06-25,43
256,86728ddb20ec,business,APAC,382069.24,2021-03-15,77
257,99fcb9e0c8ca,checking,EU-West,304003.93,2022-08-15,64
258,3fb710edc3f9,checking,US-West,392732.98,2021-07-04,80
259,5dc8b3b1d762,savings,EU-East,134580.86,2019-04-17,45
260,e73869233129,savings,US-East,252134.42,2019-07-08,25
261,ad4e780ed62f,business,EU-East,205168.19,2019-04-04,35
262,220d1fe5d2ec,checking,US-West,357236.51,2020-06-03,18
263,3906022d86ab,checking,US-West,99731.0,2018-12-11,64
264,28351afd5fc1,business,APAC,74277.36,2020-10-03,18
265,4c3abd84291a,savings,US-East,439336.75,2020-01-06,66
266,ac5092253e7f,checking,US-East,10408.53,2019-03-23,53
267,bbf4c65d3da4,savings,US-West,396660.39,2020-11-28,65
268,67b136ae47c5,savings,EU-West,119712.42,2022-01-02,25
269,fd7405b6b663,checking,US-East,258127.37,2021-06-07,54
270,9cd2f33f906c,business,US-East,60746.91,2022-04-23,25
271,c126fe6c95ac,checking,US-East,289864.57,2020-04-11,72
272,875582589e65,checking,EU-West,283901.93,2022-10-08,65
273,a5b252805702,checking,US-West,69517.97,2021-07-09,49
274,97de41597ac1,savings,APAC,415851.43,2019-02-17,61
275,316825557352,business,APAC,229969.58,2020-12-25,63
276,56ee65f57134,checking,EU-West,4552.3,2021-06-19,68
277,6fce58ad300f,savings,US-Central,271709.0,2022-02-10,71
278,21acd5f3e552,business,EU-West,240066.45,2018-06-18,34
279,407b0b4202f6,checking,US-East,25426.03,2020-03-06,76
280,9ef908464357,business,EU-East,138737.28,2021-05-07,32
281,a94d0a37a8b4,savings,US-East,445170.28,2019-05-26,64
282,5ac4e379f11c,checking,EU-West,41332.72,2022-09-07,24
283,9008f1085a46,checking,US-Central,46324.21,2020-12-07,56
284,ef8fbce38909,business,US-Central,347182.01,2021-02-11,39
285,0cbd7d9984b3,checking,EU-East,481430.09,2020-10-23,37
286,2fd6b32aeb79,checking,US-West,317997.39,2018-11-04,69
287,f1d580998ef8,business,US-East,34299.95,2022-10-03,31
288,1e7cb7d87514,checking,US-Central,206495.18,2019-10-26,19
289,a63ee6489619,savings,EU-West,471730.48,2020-07-03,56
290,e47b5b241af1,savings,US-Central,291044.13,2021-05-08,63
291,6583e8d69867,savings,EU-West,220864.21,2019-07-14,63
292,e3f7adaa6a07,checking,US-East,275313.17,2018-04-20,35
293,99ec7c098cac,business,US-East,405075.64,2021-08-11,63
294,0f6699859bf7,business,US-East,344390.29,2022-04-26,27
295,1dd500a4d140,business,US-West,256718.13,2018-10-10,56
296,caf4ba3cceea,savings,US-East,74730.98,2022-04-20,75
297,5ce350836e6e,checking,US-East,265486.14,2020-03-11,50
298,49476ff42bc8,savings,US-Central,344444.7,2018-05-24,75
299,d7fa0503c20e,savings,US-West,394855.35,2018-10-06,40
300,1606197f324b,checking,EU-West,155855.36,2021-07-28,78
301,3b1476a9faf2,savings,EU-West,8796.68,2019-04-01,36
302,64b16b06abc7,checking,EU-East,47441.15,2018-06-28,67
303,5c21315d7d54,checking,EU-East,350639.63,2021-02-20,24
304,5e703c5e2d63,checking,APAC,209394.58,2021-01-29,22
305,6d1da6cbb987,checking,APAC,487278.96,2021-07-10,40
306,4797c7d7459e,checking,US-Central,332812.76,2021-03-02,75
307,e8399f2c0135,checking,US-East,30510.05,2020-03-25,56
308,e310c3d43165,checking,US-East,132324.64,2018-12-21,44
309,d5d101fdb41b,checking,US-East,63980.63,2018-02-18,33
310,ea7770f9b882,checking,EU-West,43424.29,2020-12-05,23
311,cc80e64bad40,business,US-West,100331.87,2022-01-21,75
312,58101d7f98eb,business,APAC,495103.57,2018-09-18,58
313,72376c98126e,checking,US-Central,44876.69,2020-05-24,19
314,acbc4be8c2dc,savings,EU-East,357693.53,2021-09-03,18
315,65ce09084432,business,EU-West,217669.58,2020-10-16,38
316,f951934f1b8e,business,US-Central,156097.07,2019-04-05,64
317,60afcfd40357,savings,APAC,88934.41,2018-04-05,27
318,3e790b202e2d,savings,US-West,426079.9,2020-06-19,37
319,2195baceda0d,checking,US-East,311057.41,2020-02-24,39
320,43dcc5b8cf7c,checking,US-Central,249660.37,2019-04-30,65
321,fecb4efaee73,business,US-West,482023.03,2022-06-24,37
322,ef8e57e63c78,checking,US-Central,117515.74,2020-10-04,53
323,6c3cef7ba025,checking,EU-West,499586.64,2020-05-13,52
324,70711d926e26,checking,US-Central,378455.46,2018-12-13,65
325,360997f096a6,checking,EU-West,334122.44,2021-10-23,29
326,c0e6235b16bf,savings,US-East,254743.03,2020-03-18,72
327,d6c6cad042cb,business,EU-West,467480.21,2020-05-06,77
328,e017017cc49f,savings,US-West,427977.27,2021-12-02,35
329,0ca0dfb4f814,business,EU-West,441948.68,2018-06-06,44
330,fa469c967943,business,EU-West,255367.3,2022-10-12,72
331,56666c5e7b58,business,US-Central,236705.16,2019-07-07,71
332,e6e4e58a9a8b,business,US-West,289132.73,2018-06-14,58
333,eace24ae05dd,savings,US-East,18346.06,2019-03-02,80
334,c1cd20a91d31,business,US-Central,250349.21,2018-08-11,48
335,4fe99f27467e,checking,US-West,117723.21,2019-09-10,73
336,7a439d3918b3,checking,US-Central,26918.42,2019-07-11,64
337,e7eac03f605d,business,EU-West,273887.11,2020-05-08,78
338,7239e972336a,checking,US-East,168205.58,2018-08-15,58
339,858fe3e2fa0a,savings,EU-East,369153.57,2020-06-05,40
340,a3963758db91,savings,US-Central,287458.54,2018-12-02,29
341,6a899c17e4c0,savings,APAC,345509.09,2018-02-05,69
342,6c7577e33842,business,US-East,383230.83,2019-08-03,24
343,eef539c24554,business,EU-East,246579.51,2021-10-05,30
344,4c8648ed2b4b,business,US-East,265645.09,2021-01-24,47
345,2338678a7c7a,checking,APAC,214574.34,2019-05-26,37
346,ebd3293a0f33,savings,APAC,293421.0,2019-04-07,36
347,4d552ceb04b5,business,US-West,362035.43,2020-10-21,51
348,7cf8d7eb6e5c,savings,EU-East,400705.24,2020-11-24,52
349,f7ab1f7ebc9b,savings,EU-West,129909.22,2018-02-17,67
350,d120094f1bed,savings,US-East,408297.68,2018-02-07,20
351,56e8af7d87e5,checking,US-West,407607.25,2019-01-08,41
352,a98a67688c64,checking,APAC,374900.96,2019-09-29,23
353,f97a1bb9201f,business,US-West,123642.57,2022-07-01,19
354,795551c4301c,business,EU-West,25573.76,2018-08-31,57
355,29ab8a300249,business,EU-West,2195.22,2022-03-04,78
356,d572121da93d,savings,US-West,50330.01,2019-05-06,64
357,e55e37694b15,business,EU-West,26530.4,2021-08-07,21
358,e366a081a7c6,checking,US-East,499751.31,2019-02-19,30
359,d53854facda9,business,EU-West,275424.32,2018-08-04,55
360,e53e921ee68a,business,US-East,40182.93,2021-06-29,69
361,baecd3236c55,checking,US-East,105007.32,2019-07-20,76
362,4b9e3ad02c0d,checking,US-West,53558.22,2020-08-30,62
363,38bc2e9909c6,business,US-East,294888.03,2020-10-13,47
364,970faa7fa702,business,EU-East,207528.95,2022-04-10,67
365,f1dd962f9e1e,checking,APAC,378859.43,2022-03-15,74
366,d4ac9d9f5f8a,savings,APAC,357672.97,2018-11-15,80
367,443a8739d802,checking,APAC,253712.64,2022-03-19,24
368,148d8d170cd4,business,US-Central,422715.96,2021-04-06,58
369,6f7bc7734ebe,business,US-Central,433681.12,2020-08-13,76
370,d12515ed997d,business,US-East,38612.95,2018-01-20,79
371,939a7da83c73,savings,US-West,168914.8,2020-06-15,28
372,df7442e7fc5c,checking,US-East,236326.87,2021-12-17,28
373,8dc6df5d0a62,business,APAC,433627.45,2021-02-17,46
374,dfb3f0a49f02,business,US-East,235889.76,2020-12-06,67
375,5a569376cdfd,business,US-East,357557.93,2020-08-16,47
376,3afbc36d3a21,savings,US-East,213433.31,2018-08-18,53
377,784a5ba363bc,business,US-East,389620.7,2021-11-14,48
378,a4a0c8a37a8c,checking,US-West,446889.26,2022-09-06,61
379,2839d110effc,business,APAC,493923.28,2021-05-05,34
380,68ff82f30b57,savings,US-East,267783.37,2020-09-12,49
381,9cbf1e31cc5f,checking,US-East,223759.61,2019-11-25,44
382,e1971ce9906b,checking,US-East,91112.38,2021-02-20,36
383,adf08907a875,checking,APAC,361425.13,2021-01-25,53
384,3461777d6c62,savings,EU-West,433579.08,2020-01-21,50
385,115d7c2a22be,checking,US-West,325700.79,2018-03-06,60
386,09b2b0a39e5d,savings,US-West,399221.44,2022-11-13,26
387,a52ba9096945,savings,US-West,81218.41,2019-03-13,70
388,01289e1488d8,savings,EU-East,19121.91,2018-09-06,42
389,250baa36c980,business,EU-West,275787.87,2021-05-18,72
390,6c823e1f1156,savings,EU-West,333224.26,2020-07-22,19
391,53549dd07ddb,savings,APAC,341351.28,2020-03-07,22
392,0a6072eed43c,business,APAC,59285.24,2020-06-13,54
393,d069a2aa2151,savings,APAC,374309.05,2022-10-07,74
394,153e13a13dbd,checking,US-Central,27553.86,2018-10-18,25
395,dac78adcf41c,savings,US-Central,411743.37,2022-09-14,42
396,8b0a134c4d36,checking,EU-West,463879.05,2018-05-29,31
397,c91e023f74dc,savings,US-East,489614.64,2019-02-09,79
398,827f6b7778ef,business,EU-East,383445.19,2022-07-24,75
399,ce3e9150a79c,checking,US-Central,424282.46,2022-05-21,62
400,bcfcf5074cbb,business,US-East,310039.39,2022-03-13,73
401,b1c9dc788af9,business,US-West,144350.34,2019-03-31,72
402,4198313191c3,business,US-East,110273.28,2019-08-23,18
403,aeeb7f75fffe,checking,APAC,212600.68,2019-09-10,69
404,87f23d3fe656,checking,US-East,158264.77,2022-07-16,32
405,fce4b8ae9bae,checking,US-East,184213.65,2018-04-06,22
406,8710f3a5c74f,savings,APAC,182427.73,2020-02-12,69
407,8889d901bd87,business,EU-West,349173.12,2022-01-02,43
408,ce39ce7a0b46,checking,US-West,333906.53,2021-12-31,77
409,eefa2d81199f,savings,US-West,154998.11,2021-06-12,23
410,3dbf435dba32,checking,US-Central,8636.28,2018-07-11,25
411,43106ab0fdc4,savings,EU-West,210363.5,2022-04-08,67
412,7f21ce503ae9,savings,EU-East,410149.42,2018-11-15,55
413,ec499f08a575,savings,US-East,160096.64,2022-06-01,33
414,87cd51ee6d83,savings,US-Central,372255.55,2021-02-04,76
415,2e043afc261f,checking,US-West,273049.73,2022-11-05,22
416,3ebcd130aafd,savings,US-Central,403609.28,2020-07-08,26
417,9d8eb0630684,business,US-Central,382561.92,2019-04-25,49
418,34d172a3c769,checking,US-Central,181204.07,2020-11-03,27
419,31874bd2f193,business,US-East,381237.37,2020-02-10,69
420,e34cab4c4507,savings,US-West,113618.67,2021-05-10,42
421,b46ad4fc88d9,checking,US-Central,393405.27,2018-02-08,45
422,6cbaa5ad018f,business,US-Central,385873.77,2022-04-03,45
423,85689cdd4c49,savings,EU-West,70759.08,2022-05-03,40
424,bd9d1d8bc22f,savings,US-East,13755.5,2018-05-13,31
425,f72d574d1c10,business,EU-West,61339.27,2018-05-06,42
426,56b2d16fe4ba,savings,APAC,240394.1,2022-07-08,59
427,506ab4f6d62a,checking,EU-West,332323.28,2022-03-22,21
428,919df4685180,checking,EU-West,159093.28,2019-03-20,80
429,f014e5c149ba,business,US-East,388180.71,2019-04-13,74
430,07c685cbe3ac,savings,US-East,420284.26,2020-06-24,50
431,8eac084fd7ce,savings,APAC,229563.47,2022-09-30,29
432,3cd5932d4734,checking,US-West,281354.98,2020-02-25,39
